Ticker,Company Name,Sector,Price (INR),Change %,P/E Ratio,ROE %,Market Cap (Cr)
"HDFCDIG25","HDFC Digital Y25","IT",2083.19,-0.69,37.9,21.4,443155
"WIPRSOF26","Wipro Software Z26","Banking",1215.55,1.97,48.4,24.2,315197
"HINDENT27","Hindalco Enterprises A27","Pharma",1927.24,-0.20,36.0,8.9,61901
"HINDVEN28","Hindalco Ventures B28","Energy",3113.40,-0.12,28.9,32.5,467938
"SUNLAB29","Sun Labs C29","Automobile",1282.02,0.30,68.1,11.7,177022
"INFOHOL30","Infosys Holdings D30","Consumer Goods",2452.03,0.54,47.5,18.1,214185
"HDFCLAB31","HDFC Labs E31","IT",3851.62,0.42,18.2,20.3,318323
"GODRENT32","Godrej Enterprises F32","Banking",2332.29,0.49,27.3,10.5,7554
"LARSAUT33","Larsen Automotive G33","Pharma",2688.59,0.37,37.7,3.0,304249
"TITATEC34","Titan Technologies H34","Energy",2527.45,-0.48,24.9,32.7,113443
"AXISIND35","Axis Industries I35","Automobile",676.67,0.70,27.4,1.0,226687
"AUROHOL36","Aurobindo Holdings J36","Consumer Goods",4409.41,0.09,17.3,11.5,198542
"CIPLAUT37","Cipla Automotive K37","IT",4772.08,0.33,17.4,16.5,414181
"INFOINF38","Infosys Infrastructure L38","Banking",483.33,4.08,41.0,17.5,111614
"AUROSOF39","Aurobindo Software M39","Pharma",241.52,-1.20,62.8,17.2,258621
"VEDALAB40","Vedanta Labs N40","Energy",891.03,-0.86,67.7,6.1,44829
"AUROTEC41","Aurobindo Technologies O41","Automobile",4816.60,-0.26,14.4,6.3,288964
"LARSENT42","Larsen Enterprises P42","Consumer Goods",4375.32,0.46,19.3,6.2,255421
"HDFCENT43","HDFC Enterprises Q43","IT",330.52,5.37,19.4,7.9,424960
"HDFCTEC44","HDFC Technologies R44","Banking",1325.34,-1.40,45.3,13.3,8140
"GODRSOL45","Godrej Solutions S45","Pharma",4617.70,-0.07,55.3,14.2,68715
"AUROIND46","Aurobindo Industries T46","Energy",4590.96,0.09,10.6,33.1,435203
"KOTAPOW47","Kotak Power U47","Automobile",135.84,-5.25,22.0,34.4,173633
"AXISCAP48","Axis Capital V48","Consumer Goods",4932.58,-0.26,36.5,30.9,342337
"AIRTPHA49","Airtel Pharmaceuticals W49","IT",1546.96,-0.98,65.3,30.5,467244
"KOTASOL50","Kotak Solutions X50","Banking",2351.68,-0.85,57.9,17.0,315383
"BIOCENT51","Biocon Enterprises Y51","Pharma",4619.17,0.05,48.3,8.1,451122
"WIPRGLO52","Wipro Global Z52","Energy",3903.38,-0.51,53.7,25.5,419788
"MARUIND53","Maruti Industries A53","Automobile",4562.23,-0.17,11.4,31.9,203476
"VEDAVEN54","Vedanta Ventures B54","Consumer Goods",2288.26,-0.30,54.7,32.8,209243
"ICICGLO55","ICICI Global C55","IT",2161.07,-0.98,26.3,1.8,435810
"GODRTEC56","Godrej Technologies D56","Banking",2812.72,-0.84,22.6,15.0,103985
"BAJAVEN57","Bajaj Ventures E57","Pharma",1153.94,1.37,37.7,12.5,39236
"GODRDIG58","Godrej Digital F58","Energy",3807.67,0.34,37.5,8.0,395353
"VEDAPOW59","Vedanta Power G59","Automobile",4511.84,0.12,18.2,12.0,338031
"SUNPHA60","Sun Pharmaceuticals H60","Consumer Goods",2858.64,0.83,26.6,7.1,37863
"AXISENT61","Axis Enterprises I61","IT",4767.72,-0.48,28.3,15.1,304581
"ITCENT62","ITC Enterprises J62","Banking",4194.34,-0.35,27.7,30.5,63564
"HINDPHA63","Hindalco Pharmaceuticals K63","Pharma",1094.02,-0.44,13.3,15.2,149320
"BIOCTEC64","Biocon Technologies L64","Energy",4888.99,0.14,57.9,0.9,466126
"HINDFMC65","Hindalco FMCG M65","Automobile",1573.81,0.40,33.9,0.3,344582
"BIOCINF66","Biocon Infrastructure N66","Consumer Goods",3795.21,-0.29,15.8,12.0,369150
"LARSAUT67","Larsen Automotive O67","IT",933.68,2.04,70.0,2.1,7639
"GODRDIG68","Godrej Digital P68","Banking",3296.64,-0.47,58.3,27.1,106285
"ADANIND69","Adani Industries Q69","Pharma",1205.03,2.05,12.6,28.0,125084
"MAHIFMC70","Mahindra FMCG R70","Energy",4418.75,-0.35,14.1,0.1,230272
"ICICAUT71","ICICI Automotive S71","Automobile",1210.47,-0.09,20.6,12.9,213451
"HINDPOW72","Hindalco Power T72","Consumer Goods",196.73,6.78,8.2,20.2,127972
"AXISCAP73","Axis Capital U73","IT",3755.64,0.41,45.9,28.0,319857
"AXISPOW74","Axis Power V74","Banking",2603.63,-0.29,30.7,15.5,260699
"AUROTEC75","Aurobindo Technologies W75","Pharma",4178.38,0.25,65.1,32.1,89558
"ITCVEN76","ITC Ventures X76","Energy",4281.99,-0.22,14.2,17.2,467722
"HDFCSOF77","HDFC Software Y77","Automobile",2630.58,0.30,38.5,34.9,398311
"WIPRGLO78","Wipro Global Z78","Consumer Goods",4300.99,-0.32,61.8,24.1,307022
"BAJAAUT79","Bajaj Automotive A79","IT",2733.47,0.10,62.7,22.5,94177
"ITCSOL80","ITC Solutions B80","Banking",2483.28,0.39,68.3,21.5,89362
"BIOCPHA81","Biocon Pharmaceuticals C81","Pharma",3338.01,-0.19,27.0,27.1,217910
"CIPLSOL82","Cipla Solutions D82","Energy",3359.71,-0.38,23.9,34.8,412842
"AIRTHOL83","Airtel Holdings E83","Automobile",2744.89,-0.13,6.9,1.0,25108
"KOTAPOW84","Kotak Power F84","Consumer Goods",1384.61,-0.95,21.8,4.9,20510
"NTPCIND85","NTPC Industries G85","IT",992.25,1.35,50.0,10.2,239728
"ITCPHA86","ITC Pharmaceuticals H86","Banking",4549.84,0.35,64.2,32.2,213745
"GODRSOF87","Godrej Software I87","Pharma",1055.05,0.21,21.8,3.0,274905
"AXISPOW88","Axis Power J88","Energy",2888.32,0.61,58.1,30.6,195734
"BAJAPOW89","Bajaj Power K89","Automobile",1234.58,1.34,8.0,28.0,462194
"VEDAIND90","Vedanta Industries L90","Consumer Goods",1185.71,1.24,61.8,14.9,219380
"AXISPHA91","Axis Pharmaceuticals M91","IT",1737.96,0.86,40.1,10.8,406240
"AXISAUT92","Axis Automotive N92","Banking",253.42,1.23,30.1,25.7,221840
"TATASOL93","Tata Solutions O93","Pharma",669.61,0.16,8.1,14.1,64612
"HDFCFMC94","HDFC FMCG P94","Energy",3931.85,-0.23,32.6,16.3,28167
"NTPCPHA95","NTPC Pharmaceuticals Q95","Automobile",4905.05,-0.12,31.5,1.1,84714
"AIRTTEC96","Airtel Technologies R96","Consumer Goods",1547.77,-1.50,19.1,33.9,313225
"NTPCAUT97","NTPC Automotive S97","IT",417.08,0.78,60.1,1.0,427153
"ITCPOW98","ITC Power T98","Banking",2652.57,0.38,11.1,3.6,69721
"TATATEC99","Tata Technologies U99","Pharma",1851.30,-1.06,65.7,14.5,492078
"AIRTINF100","Airtel Infrastructure V100","Energy",4694.14,0.40,62.6,19.0,42005
"AIRTTEC101","Airtel Technologies W101","Automobile",907.21,1.39,66.3,3.0,362712
"LARSLAB102","Larsen Labs X102","Consumer Goods",4498.91,0.40,10.6,6.5,329635
"TATADIG103","Tata Digital Y103","IT",2418.93,0.10,57.8,32.4,188007
"MARUHOL104","Maruti Holdings Z104","Banking",4564.31,0.14,12.5,33.2,162663
"SUNENT105","Sun Enterprises A105","Pharma",380.46,3.00,7.3,9.1,481621
"BIOCIND106","Biocon Industries B106","Energy",2335.38,0.92,36.3,20.3,101867
"RELIPHA107","Reliance Pharmaceuticals C107","Automobile",2966.69,0.04,17.1,14.9,115126
"HINDTEC108","Hindalco Technologies D108","Consumer Goods",3022.25,-0.08,25.8,20.5,363507
"AIRTIND109","Airtel Industries E109","IT",3041.44,0.71,67.5,25.0,120899
"HINDGLO110","Hindalco Global F110","Banking",2471.85,-0.03,56.5,2.6,445416
"RELIIND111","Reliance Industries G111","Pharma",4637.43,-0.53,34.6,8.2,124871
"HINDDIG112","Hindalco Digital H112","Energy",1435.40,0.06,17.0,32.0,332726
"VEDASOF113","Vedanta Software I113","Automobile",744.73,1.47,49.6,2.1,222886
"TITASOF114","Titan Software J114","Consumer Goods",2391.55,-0.13,46.3,6.4,653
"NTPCAUT115","NTPC Automotive K115","IT",4116.89,0.55,48.9,5.6,109393
"LARSENT116","Larsen Enterprises L116","Banking",1440.96,0.34,53.3,15.3,460069
"INFODIG117","Infosys Digital M117","Pharma",1722.44,-0.13,18.6,23.0,381555
"VEDATEC118","Vedanta Technologies N118","Energy",3353.20,-0.07,64.7,13.0,287028
"MARUDIG119","Maruti Digital O119","Automobile",694.97,-0.03,67.8,5.4,236338
"ITCGLO120","ITC Global P120","Consumer Goods",3623.27,-0.13,60.1,29.5,469771
"TATAFMC121","Tata FMCG Q121","IT",4744.37,-0.33,58.8,10.2,372388
"HDFCFMC122","HDFC FMCG R122","Banking",3393.95,0.68,46.5,16.2,228913
"MAHIFMC123","Mahindra FMCG S123","Pharma",4889.03,-0.46,45.2,21.0,200169
"AUROTEC124","Aurobindo Technologies T124","Energy",2767.68,-0.47,27.5,34.9,446390
"MAHIINF125","Mahindra Infrastructure U125","Automobile",4588.46,0.12,42.8,34.3,16711
"HINDCAP126","Hindalco Capital V126","Consumer Goods",2864.54,-0.22,63.6,2.4,89376
"TITACAP127","Titan Capital W127","IT",3069.71,-0.21,68.4,2.9,115142
"RELIDIG128","Reliance Digital X128","Banking",3399.84,-0.60,26.9,0.6,55695
"ICICENT129","ICICI Enterprises Y129","Pharma",4957.18,0.44,12.8,30.5,302492
"HINDHOL130","Hindalco Holdings Z130","Energy",2867.98,-0.00,26.1,33.9,354182
"KOTAINF131","Kotak Infrastructure A131","Automobile",3135.42,0.67,25.3,15.6,30915
"RELIFMC132","Reliance FMCG B132","Consumer Goods",351.48,-4.74,31.6,3.9,120956
"MARUENT133","Maruti Enterprises C133","IT",786.87,-0.23,20.7,6.7,113747
"BAJAPOW134","Bajaj Power D134","Banking",499.73,4.44,38.0,25.2,127528
"NTPCDIG135","NTPC Digital E135","Pharma",2250.51,0.36,67.7,16.8,135284
"GODRENT136","Godrej Enterprises F136","Energy",4580.80,0.07,68.4,0.8,296117
"MAHIDIG137","Mahindra Digital G137","Automobile",2081.13,-0.30,37.6,2.9,381984
"ADANIND138","Adani Industries H138","Consumer Goods",2443.29,-0.75,48.3,11.4,461970
"ADANPHA139","Adani Pharmaceuticals I139","IT",1324.13,-1.07,38.2,26.9,186584
"BAJAHOL140","Bajaj Holdings J140","Banking",1614.85,0.95,13.9,5.9,196775
"LARSCAP141","Larsen Capital K141","Pharma",3356.58,-0.57,61.8,14.0,496164
"HINDINF142","Hindalco Infrastructure L142","Energy",242.08,-3.11,29.7,20.1,33578
"ICICSOF143","ICICI Software M143","Automobile",2876.90,-0.15,52.0,7.6,333067
"ADANAUT144","Adani Automotive N144","Consumer Goods",2268.10,0.73,15.0,29.7,494136
"HINDPHA145","Hindalco Pharmaceuticals O145","IT",3634.28,0.26,47.9,33.3,274800
"WIPRSOF146","Wipro Software P146","Banking",4168.02,-0.30,56.2,5.1,423058
"RELIDIG147","Reliance Digital Q147","Pharma",3481.97,-0.12,61.2,7.1,465573
"VEDAHOL148","Vedanta Holdings R148","Energy",5056.53,0.45,26.1,24.0,477156
"MARUGLO149","Maruti Global S149","Automobile",630.29,-1.07,63.0,34.3,103724
"KOTAENT150","Kotak Enterprises T150","Consumer Goods",710.45,0.70,34.6,0.0,471087
"AXISPOW151","Axis Power U151","IT",299.63,-6.21,55.0,2.5,457780
"NTPCSOF152","NTPC Software V152","Banking",2997.54,0.66,8.6,26.8,370831
"ADANSOF153","Adani Software W153","Pharma",855.90,0.24,6.6,4.3,434812
"LARSSOF154","Larsen Software X154","Energy",2523.80,-0.02,59.3,14.9,279381
"RELILAB155","Reliance Labs Y155","Automobile",4204.84,0.11,54.1,25.6,142364
"MAHIHOL156","Mahindra Holdings Z156","Consumer Goods",2205.10,0.71,64.9,12.9,248736
"TITASOL157","Titan Solutions A157","IT",2056.99,-0.98,46.7,12.1,71978
"VEDAGLO158","Vedanta Global B158","Banking",1879.24,0.82,65.2,9.7,103882
"ITCPOW159","ITC Power C159","Pharma",2735.05,0.72,69.6,7.9,489791
"WIPRINF160","Wipro Infrastructure D160","Energy",2295.99,-0.16,23.0,12.6,242589
"AXISSOF161","Axis Software E161","Automobile",3809.17,0.32,48.2,4.5,365051
"AXISVEN162","Axis Ventures F162","Consumer Goods",351.02,2.72,58.9,32.5,477769
"MARUGLO163","Maruti Global G163","IT",446.80,1.77,52.3,29.8,217345
"CIPLIND164","Cipla Industries H164","Banking",1382.20,-0.03,63.2,5.9,64257
"VEDASOF165","Vedanta Software I165","Pharma",3950.94,0.27,59.9,15.0,475517
"BAJATEC166","Bajaj Technologies J166","Energy",2256.26,-1.06,20.8,25.9,494285
"SUNFMC167","Sun FMCG K167","Automobile",3105.74,-0.26,5.1,8.7,172309
"TITAGLO168","Titan Global L168","Consumer Goods",434.91,-5.23,61.0,29.7,218840
"HINDSOF169","Hindalco Software M169","IT",1856.29,-0.49,22.8,18.5,388687
"RELIHOL170","Reliance Holdings N170","Banking",4546.13,0.50,52.1,25.1,93360
"ITCLAB171","ITC Labs O171","Pharma",699.39,-3.17,68.0,24.0,73754
"SUNVEN172","Sun Ventures P172","Energy",4965.62,-0.26,22.5,11.5,104804
"VEDAIND173","Vedanta Industries Q173","Automobile",1008.02,-2.18,65.4,7.6,235997
"HDFCSOL174","HDFC Solutions R174","Consumer Goods",4922.49,0.01,51.4,13.3,283938
"AXISENT175","Axis Enterprises S175","IT",1521.83,-0.28,15.3,34.2,88171
"AIRTTEC176","Airtel Technologies T176","Banking",4654.99,-0.30,33.8,26.9,325418
"ITCSOL177","ITC Solutions U177","Pharma",799.66,0.50,39.6,6.6,488009
"HDFCLAB178","HDFC Labs V178","Energy",1957.27,1.01,53.9,34.7,444937
"GODRINF179","Godrej Infrastructure W179","Automobile",4815.08,0.30,49.8,16.4,246274
"WIPRPOW180","Wipro Power X180","Consumer Goods",2362.41,-0.48,16.5,28.2,348473
"WIPRPOW181","Wipro Power Y181","IT",1916.82,0.94,52.1,6.4,414367
"BIOCPHA182","Biocon Pharmaceuticals Z182","Banking",1156.31,-0.80,12.9,1.7,478579
"NTPCLAB183","NTPC Labs A183","Pharma",586.61,-2.68,5.1,12.7,208947
"TITASOL184","Titan Solutions B184","Energy",2959.60,-0.17,35.7,16.5,312008
"ADANCAP185","Adani Capital C185","Automobile",2993.65,-0.45,46.0,20.8,36285
"BIOCFMC186","Biocon FMCG D186","Consumer Goods",2769.48,-0.52,48.9,17.8,304625
"BIOCGLO187","Biocon Global E187","IT",2642.47,0.26,32.5,17.3,407968
"LARSHOL188","Larsen Holdings F188","Banking",4680.17,0.02,45.9,10.8,87387
"GODRINF189","Godrej Infrastructure G189","Pharma",422.19,-1.96,24.7,11.8,443629
"HINDCAP190","Hindalco Capital H190","Energy",245.15,-2.52,50.2,3.7,241615
"WIPRSOL191","Wipro Solutions I191","Automobile",4965.01,0.39,54.4,26.5,402674
"WIPRIND192","Wipro Industries J192","Consumer Goods",1999.18,1.00,8.4,13.3,54083
"LARSTEC193","Larsen Technologies K193","IT",4609.16,0.20,51.6,16.5,393583
"KOTACAP194","Kotak Capital L194","Banking",2251.57,0.56,10.8,12.2,462163
"MARUGLO195","Maruti Global M195","Pharma",2914.32,0.09,52.2,15.5,199907
"TITAPOW196","Titan Power N196","Energy",4641.78,-0.01,6.7,18.9,126111
"SUNTEC197","Sun Technologies O197","Automobile",1959.81,-0.60,38.8,33.5,370056
"AIRTVEN198","Airtel Ventures P198","Consumer Goods",2921.91,-0.10,44.4,18.8,271287
"RELISOL199","Reliance Solutions Q199","IT",2582.67,-0.30,52.3,11.8,23344
"AXISLAB200","Axis Labs R200","Banking",1074.68,0.32,50.0,9.1,390194
"TATAIND201","Tata Industries S201","Pharma",3621.31,0.69,39.9,34.5,464889
"KOTACAP202","Kotak Capital T202","Energy",321.73,-1.88,46.1,23.7,349443
"AUROSOF203","Aurobindo Software U203","Automobile",388.33,1.26,48.3,19.3,320694
"MAHIAUT204","Mahindra Automotive V204","Consumer Goods",241.21,10.11,17.1,2.6,17418
"ICICGLO205","ICICI Global W205","IT",945.52,-1.20,55.7,31.5,311407
"AXISLAB206","Axis Labs X206","Banking",2025.25,0.63,25.3,1.2,494514
"ITCVEN207","ITC Ventures Y207","Pharma",1831.46,0.08,50.2,4.3,227390
"RELILAB208","Reliance Labs Z208","Energy",4280.18,-0.05,37.8,6.6,351986
"SUNSOF209","Sun Software A209","Automobile",1975.15,1.23,16.5,5.3,219820
"MAHIENT210","Mahindra Enterprises B210","Consumer Goods",3071.09,0.07,35.8,28.0,158419
"AURODIG211","Aurobindo Digital C211","IT",945.11,0.77,6.1,16.9,311298
"TATAINF212","Tata Infrastructure D212","Banking",253.16,7.14,24.1,22.8,432319
"BAJAENT213","Bajaj Enterprises E213","Pharma",4772.39,0.10,29.3,22.5,281129
"RELIFMC214","Reliance FMCG F214","Energy",3312.54,0.02,31.1,12.3,426567
"KOTAVEN215","Kotak Ventures G215","Automobile",1299.94,-0.93,51.0,23.0,88067
"WIPRCAP216","Wipro Capital H216","Consumer Goods",1931.64,-0.61,69.0,12.4,85715
"HINDIND217","Hindalco Industries I217","IT",634.90,-3.45,44.5,14.8,337082
"BAJASOL218","Bajaj Solutions J218","Banking",475.57,4.20,17.6,21.8,442112
"VEDAHOL219","Vedanta Holdings K219","Pharma",714.99,1.62,60.3,23.7,214910
"KOTAINF220","Kotak Infrastructure L220","Energy",297.77,3.00,9.5,7.6,162925
"AXISFMC221","Axis FMCG M221","Automobile",1295.09,-1.46,36.5,4.0,245736
"WIPRIND222","Wipro Industries N222","Consumer Goods",985.75,-0.03,17.9,29.7,4316
"SUNIND223","Sun Industries O223","IT",1883.15,0.77,57.3,30.6,298807
"RELILAB224","Reliance Labs P224","Banking",4720.49,-0.14,57.3,2.5,63291
"TITAFMC225","Titan FMCG Q225","Pharma",4497.94,0.38,48.6,4.9,438718
"BAJAINF226","Bajaj Infrastructure R226","Energy",1079.89,-1.17,15.2,23.6,387523
"HDFCSOF227","HDFC Software S227","Automobile",2393.76,0.51,55.3,25.8,74177
"VEDAFMC228","Vedanta FMCG T228","Consumer Goods",2748.03,0.46,20.8,27.9,2942
"WIPRPHA229","Wipro Pharmaceuticals U229","IT",2063.49,1.05,58.1,21.3,38098
"MAHIINF230","Mahindra Infrastructure V230","Banking",565.22,-0.59,53.0,14.3,377112
"ADANSOL231","Adani Solutions W231","Pharma",4422.28,0.36,37.9,34.0,450531
"BIOCFMC232","Biocon FMCG X232","Energy",2138.94,-0.88,69.8,32.1,58683
"NTPCLAB233","NTPC Labs Y233","Automobile",1146.86,-0.25,9.5,29.8,37731
"ICICGLO234","ICICI Global Z234","Consumer Goods",2752.55,0.45,19.3,9.9,451274
"GODRAUT235","Godrej Automotive A235","IT",1596.17,-0.43,19.6,0.0,309164
"INFOHOL236","Infosys Holdings B236","Banking",4260.65,0.15,36.7,35.0,407098
"GODRENT237","Godrej Enterprises C237","Pharma",2671.86,-0.48,41.6,14.7,346828
"LARSLAB238","Larsen Labs D238","Energy",546.84,2.16,42.4,31.8,359290
"TATALAB239","Tata Labs E239","Automobile",4866.00,-0.30,18.1,26.5,300586
"BIOCSOL240","Biocon Solutions F240","Consumer Goods",4294.69,-0.27,23.2,6.6,224488
"BIOCVEN241","Biocon Ventures G241","IT",2299.91,-0.88,62.8,20.0,23935
"TATADIG242","Tata Digital H242","Banking",646.24,1.71,12.5,19.7,347250
"SUNPHA243","Sun Pharmaceuticals I243","Pharma",4888.47,0.32,60.3,4.5,470439
"LARSGLO244","Larsen Global J244","Energy",3710.43,0.32,13.6,34.0,439062
"CIPLPOW245","Cipla Power K245","Automobile",3326.10,0.39,7.0,8.3,244959
"MARUINF246","Maruti Infrastructure L246","Consumer Goods",2108.87,-0.58,56.7,11.5,194306
"MARUPHA247","Maruti Pharmaceuticals M247","IT",4626.70,-0.46,47.4,24.6,334371
"ICICINF248","ICICI Infrastructure N248","Banking",4337.53,-0.30,40.0,7.9,229497
"CIPLLAB249","Cipla Labs O249","Pharma",4246.21,-0.08,46.5,24.0,418624
"WIPRIND250","Wipro Industries P250","Energy",3693.09,0.47,7.2,12.8,138808
"LARSGLO251","Larsen Global Q251","Automobile",257.58,-6.56,59.3,17.3,174890
"NTPCAUT252","NTPC Automotive R252","Consumer Goods",4961.42,-0.41,27.3,28.1,1993
"TITAIND253","Titan Industries S253","IT",1077.83,-1.72,42.6,12.9,399708
"HINDPOW254","Hindalco Power T254","Banking",2344.17,0.76,32.6,34.1,130528
"MARUPOW255","Maruti Power U255","Pharma",3483.46,-0.08,39.4,17.7,405866
"BIOCAUT256","Biocon Automotive V256","Energy",1883.26,-0.91,65.3,28.5,424647
"ITCVEN257","ITC Ventures W257","Automobile",792.00,-1.09,30.0,16.7,215592
"BAJAHOL258","Bajaj Holdings X258","Consumer Goods",2475.35,0.47,49.7,3.8,15985
"BIOCPOW259","Biocon Power Y259","IT",562.76,-1.58,67.0,24.3,341710
"HDFCSOL260","HDFC Solutions Z260","Banking",2294.76,-0.49,54.4,7.9,390541
"ICICSOF261","ICICI Software A261","Pharma",1828.37,-0.46,44.0,30.0,356066
"AIRTLAB262","Airtel Labs B262","Energy",1708.54,-1.11,12.4,3.3,91814
"AIRTPOW263","Airtel Power C263","Automobile",2832.61,-0.43,57.3,10.8,224416
"LARSCAP264","Larsen Capital D264","Consumer Goods",1750.80,-0.24,57.1,26.0,134018
"BAJAHOL265","Bajaj Holdings E265","IT",1069.89,-0.50,16.8,13.8,54535
"AXISAUT266","Axis Automotive F266","Banking",4940.56,0.35,50.3,2.1,282656
"AUROAUT267","Aurobindo Automotive G267","Pharma",3046.56,-0.38,16.4,23.8,5140
"TATAENT268","Tata Enterprises H268","Energy",2482.23,0.67,42.2,11.7,167954
"BIOCSOF269","Biocon Software I269","Automobile",4156.86,-0.27,10.0,19.0,218356
"MAHIIND270","Mahindra Industries J270","Consumer Goods",2815.10,0.55,56.7,14.4,86845
"BIOCPHA271","Biocon Pharmaceuticals K271","IT",4850.04,-0.33,69.5,10.6,149292
"CIPLINF272","Cipla Infrastructure L272","Banking",3383.02,0.55,23.6,10.6,251910
"TATAGLO273","Tata Global M273","Pharma",833.68,-2.15,31.9,11.1,442323
"VEDALAB274","Vedanta Labs N274","Energy",132.50,12.38,26.6,16.2,361985
"AXISVEN275","Axis Ventures O275","Automobile",2370.05,0.62,41.2,23.3,493904
"KOTAPHA276","Kotak Pharmaceuticals P276","Consumer Goods",3558.04,-0.53,25.9,19.6,364796
"WIPRLAB277","Wipro Labs Q277","IT",2545.29,0.37,61.4,18.4,359033
"MARUGLO278","Maruti Global R278","Banking",4465.33,0.36,69.2,0.3,42889
"ITCSOF279","ITC Software S279","Pharma",2002.64,-0.37,20.8,14.9,200344
"HINDHOL280","Hindalco Holdings T280","Energy",4149.51,-0.57,7.5,11.5,87132
"HDFCCAP281","HDFC Capital U281","Automobile",3163.87,-0.66,43.2,24.4,268361
"MAHIPOW282","Mahindra Power V282","Consumer Goods",933.35,0.99,28.5,10.4,113772
"KOTAAUT283","Kotak Automotive W283","IT",515.60,4.12,46.9,8.7,252790
"ICICDIG284","ICICI Digital X284","Banking",2245.32,-0.28,23.9,7.9,340009
"AUROGLO285","Aurobindo Global Y285","Pharma",3238.50,0.50,64.7,34.7,421990
"ITCPHA286","ITC Pharmaceuticals Z286","Energy",1553.27,1.58,12.5,4.9,51972
"MARUPOW287","Maruti Power A287","Automobile",3422.13,0.08,20.8,23.1,132982
"WIPRHOL288","Wipro Holdings B288","Consumer Goods",1519.96,0.14,13.7,5.8,67340
"RELIPHA289","Reliance Pharmaceuticals C289","IT",4071.52,0.48,59.5,11.5,427759
"BIOCVEN290","Biocon Ventures D290","Banking",625.88,-1.32,34.5,30.0,331609
"BIOCHOL291","Biocon Holdings E291","Pharma",3788.96,0.08,53.1,22.4,389808
"AIRTTEC292","Airtel Technologies F292","Energy",1648.19,0.81,62.4,24.9,485717
"TATASOL293","Tata Solutions G293","Automobile",4437.66,-0.15,51.8,17.7,261033
"WIPRGLO294","Wipro Global H294","Consumer Goods",3870.15,-0.20,47.1,24.0,142887
"TITAAUT295","Titan Automotive I295","IT",415.91,-0.12,55.1,2.6,34063
"GODRAUT296","Godrej Automotive J296","Banking",3159.27,-0.30,62.3,6.4,407813
"RELIGLO297","Reliance Global K297","Pharma",4447.25,0.01,9.8,1.7,471494
"RELIIND298","Reliance Industries L298","Energy",793.80,-1.09,6.2,34.2,33574
"BAJATEC299","Bajaj Technologies M299","Automobile",2585.46,0.69,64.7,29.1,416087
"GODRSOF300","Godrej Software N300","Consumer Goods",3227.71,-0.77,61.1,34.2,67470
"AXISFMC301","Axis FMCG O301","IT",2817.82,0.70,24.3,2.4,401735
"AIRTLAB302","Airtel Labs P302","Banking",2970.04,0.83,7.8,26.2,247906
"BAJAINF303","Bajaj Infrastructure Q303","Pharma",4857.76,-0.28,64.1,23.9,313703
"NTPCHOL304","NTPC Holdings R304","Energy",1521.17,1.37,39.4,29.5,209566
"NTPCVEN305","NTPC Ventures S305","Automobile",262.06,1.10,56.1,28.6,28256
"GODRFMC306","Godrej FMCG T306","Consumer Goods",521.31,-1.64,20.9,22.1,403597
"HDFCSOL307","HDFC Solutions U307","IT",1435.94,1.29,62.3,13.5,73907
